match_no,innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_offbat,extras,is_wicket,Wicket_type,is_boundary,team1_battingfirst,team2_battingsecond,team1_score,team1_wickets,team2_score,team2_wickets,extra_type
21,1,0,1,Manyala Pranith,Left,Lalith Mohan,Left,left-arm orthodox,spin,0,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,0,2,Manyala Pranith,Left,Lalith Mohan,Left,left-arm orthodox,spin,2,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,0,3,Manyala Pranith,Left,Lalith Mohan,Left,left-arm orthodox,spin,0,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,0,4,Manyala Pranith,Left,Lalith Mohan,Left,left-arm orthodox,spin,0,0,TRUE,CAUGHT,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,0,5,Seeram Venkata Rahul,Left,Lalith Mohan,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,0,6,Yara Sandeep,Right,Lalith Mohan,Left,left-arm orthodox,spin,0,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,1,1,Seeram Venkata Rahul,Left,Yadla Vasu,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,1,2,Yara Sandeep,Right,Yadla Vasu,Left,left-arm orthodox,spin,4,0,FALSE,,TRUE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,1,3,Yara Sandeep,Right,Yadla Vasu,Left,left-arm orthodox,spin,6,0,FALSE,,TRUE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,1,4,Yara Sandeep,Right,Yadla Vasu,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,1,5,Seeram Venkata Rahul,Left,Yadla Vasu,Left,left-arm orthodox,spin,0,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,1,6,Seeram Venkata Rahul,Left,Yadla Vasu,Left,left-arm orthodox,spin,0,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,2,1,Yara Sandeep,Right,Lalith Mohan,Left,left-arm orthodox,spin,4,0,FALSE,,TRUE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,2,2,Yara Sandeep,Right,Lalith Mohan,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,2,3,Seeram Venkata Rahul,Left,Lalith Mohan,Left,left-arm orthodox,spin,0,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,2,4,Seeram Venkata Rahul,Left,Lalith Mohan,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
21,1,2,5,Yara Sandeep,Right,Lalith Mohan,Left,left-arm orthodox,spin,0,0,FALSE,,FALSE,Amaravati Royals,Vijayawada Sun Shiners,138,10,139,1,
