match_no,innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_offbat,extras,is_wicket,Wicket_type,is_boundary,team1_battingfirst,team2_battingsecond,team1_score,team1_wickets,team2_score,team2_wickets,extra_type
1,1,0,1,Lochan S Gowda,Right,M Reddy,Right,fast,pace,6,1,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,NB
1,1,0,1,Lochan S Gowda,Right,M Reddy,Right,fast,pace,4,0,FALSE,,TRUE,Mangaluru,Gulbarga,180,8,147,10,
1,1,0,2,Lochan S Gowda,Right,M Reddy,Right,fast,pace,0,2,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,LB
1,1,0,3,Lochan S Gowda,Right,M Reddy,Right,fast,pace,2,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,0,4,Lochan S Gowda,Right,M Reddy,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,0,5,Lochan S Gowda,Right,M Reddy,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,0,6,Lochan S Gowda,Right,M Reddy,Right,fast,pace,0,1,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,NB
1,1,0,6,Lochan S Gowda,Right,M Reddy,Right,fast,pace,4,0,FALSE,,TRUE,Mangaluru,Gulbarga,180,8,147,10,
1,1,1,1,Sharath BR,Right,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,1,2,Sharath BR,Right,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,1,3,Sharath BR,Right,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,1,4,Sharath BR,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,1,5,Lochan S Gowda,Right,V Vijaykumar,Right,fast,pace,0,1,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,Wide
1,1,1,5,Lochan S Gowda,Right,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,1,6,Lochan S Gowda,Right,V Vijaykumar,Right,fast,pace,0,1,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,Wide
1,1,1,6,Lochan S Gowda,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,2,1,Lochan S Gowda,Right,L Kaushal,Left,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,2,2,Lochan S Gowda,Right,L Kaushal,Left,fast,pace,0,1,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,LB
1,1,2,3,Sharath BR,Right,L Kaushal,Left,fast,pace,2,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,2,4,Sharath BR,Right,L Kaushal,Left,fast,pace,4,0,FALSE,,TRUE,Mangaluru,Gulbarga,180,8,147,10,
1,1,2,5,Sharath BR,Right,L Kaushal,Left,fast,pace,6,0,FALSE,,TRUE,Mangaluru,Gulbarga,180,8,147,10,
1,1,2,6,Sharath BR,Right,L Kaushal,Left,fast,pace,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,3,1,Sharath BR,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,3,2,Lochan S Gowda,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,3,3,Sharath BR,Right,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,3,4,Sharath BR,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,3,5,Lochan S Gowda,Right,V Vijaykumar,Right,fast,pace,0,4,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,LB
1,1,3,6,Lochan S Gowda,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,4,1,Lochan S Gowda,Right,P Dubey,Right,legspin,spin,6,0,FALSE,,TRUE,Mangaluru,Gulbarga,180,8,147,10,
1,1,4,2,Lochan S Gowda,Right,P Dubey,Right,legspin,spin,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,4,3,Lochan S Gowda,Right,P Dubey,Right,legspin,spin,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,4,4,Lochan S Gowda,Right,P Dubey,Right,legspin,spin,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,4,5,Sharath BR,Right,P Dubey,Right,legspin,spin,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,4,6,Sharath BR,Right,P Dubey,Right,legspin,spin,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,5,1,Lochan S Gowda,Right,P Shekawat,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,5,2,Sharath BR,Right,P Shekawat,Left,left-arm orthodox,spin,0,0,TRUE,Caught,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,5,3,Aneesh K V,Right,P Shekawat,Left,left-arm orthodox,spin,0,0,TRUE,Run Out,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,5,4,Macneil Hadley Noronha,Right,P Shekawat,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,5,5,Aneesh K V,Right,P Shekawat,Left,left-arm orthodox,spin,4,0,FALSE,,TRUE,Mangaluru,Gulbarga,180,8,147,10,
1,1,5,6,Aneesh K V,Right,P Shekawat,Left,left-arm orthodox,spin,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,6,1,Aneesh K V,Right,P Dubey,Right,legspin,spin,1,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
1,1,6,2,Macneil Hadley Noronha,Right,P Dubey,Right,legspin,spin,0,0,FALSE,,FALSE,Mangaluru,Gulbarga,180,8,147,10,
